,Ingredient,Products
0,milk,"['Goya, country style rice & cheese sauce, broccoli &\xa0cheddar', 'Jamaican Style Beef Patties -\xa0Goya', 'Jamaican Style Beef Patties -\xa0Goya', 'Ham Croquettes -\xa0Goya', 'Cheese Croquettes -\xa0Goya', 'Croquettes -\xa0Goya', 'Ham Croquettes -\xa0Goya', 'Chicken Croquettes -\xa0Goya', 'Baked Beef Empanadas -\xa0Goya', 'Dulce De Leche, Milk Caramel Spread -\xa0Goya', 'Tequenos South American Cheese Sticks -\xa0Goya', 'Chicken Empanadas -\xa0Goya', 'Vitamin D Added Evaporated Milk -\xa0Goya', 'Goya, corn arepa filled with\xa0cheese', 'Goya, sweet corn arepa filled with mozarella\xa0cheese', 'Goya, yucca arepas filled with\xa0cheese', 'Milk Caramel Spread -\xa0Goya', 'Goya, latin style bread\xa0crumbs', 'Potato Puffs -\xa0Goya', 'White Cheese -\xa0Goya', 'Goya, queso\xa0blanc', 'Goya, pan molido bread\xa0crumbs', 'Chicken Croquettes -\xa0Goya', 'Mexican Style Stuffed Peppers Rellenos -\xa0Goya']"
1,coconut-milk,"['Leche de coco - Goya - 400\xa0ml\xa0e', 'Coconut Milk - Goya -\xa0400\xa0ml', 'Cream Of Coconut -\xa0Goya', 'Reduced Fat Coconut Milk -\xa0Goya', 'Coconut Milk -\xa0Goya', 'Cream Of Coconut -\xa0Goya', 'Goya, coconut milk\xa0drink', 'Goya, cream of beans with\xa0coconut', 'Goya, premium green pigeon peas with\xa0coconut', 'Coconut Milk Drink -\xa0Goya']"
2,skimmed-milk,"['Ham Croquettes -\xa0Goya', 'Croquettes -\xa0Goya', 'Ham Croquettes -\xa0Goya', 'Chicken Croquettes -\xa0Goya', 'Dulce De Leche, Milk Caramel Spread -\xa0Goya', 'Milk Caramel Spread -\xa0Goya', 'Goya, latin style bread\xa0crumbs', 'Goya, pan molido bread\xa0crumbs', 'Chicken Croquettes -\xa0Goya']"
3,milk-powder,"['Goya, country style rice & cheese sauce, broccoli &\xa0cheddar', 'Chorizo Croquettes -\xa0Goya', 'Wafers -\xa0Goya', 'Coconut water with chocolate -\xa0Goya', 'Goya, wafers duplex, vanilla,\xa0strawberry', 'Vanilla Wafers -\xa0Goya', 'Mole -\xa0Goya', 'Goya, cream of beans with\xa0coconut', 'Chorizo Croquettes, Tasty Homestyle Chorizo Filled Delights -\xa0Goya']"
4,buttermilk,"['Ham Croquettes -\xa0Goya', 'Croquettes -\xa0Goya', 'Ham Croquettes -\xa0Goya', 'Chicken Croquettes -\xa0Goya', 'Goya, latin style bread\xa0crumbs', 'Goya, pan molido bread\xa0crumbs', 'Chicken Croquettes -\xa0Goya']"
5,pasteurised-milk,"['Goya, country style rice & cheese sauce, broccoli &\xa0cheddar', 'Cheese Croquettes -\xa0Goya', 'Goya, corn arepa filled with\xa0cheese', 'Goya, sweet corn arepa filled with mozarella\xa0cheese', 'Goya, yucca arepas filled with\xa0cheese', 'White Cheese -\xa0Goya', 'Goya, queso\xa0blanc']"
6,skimmed-milk-powder,"['Goya, country style rice & cheese sauce, broccoli &\xa0cheddar', 'Chorizo Croquettes -\xa0Goya', 'Wafers -\xa0Goya', 'Mole -\xa0Goya', 'Goya, cream of beans with\xa0coconut', 'Chorizo Croquettes, Tasty Homestyle Chorizo Filled Delights -\xa0Goya']"
7,milk-solids,"['Jamaican Style Beef Patties -\xa0Goya', 'Jamaican Style Beef Patties -\xa0Goya', 'Baked Beef Empanadas -\xa0Goya', 'Chicken Empanadas -\xa0Goya']"
8,cow-s-milk,"['Goya, country style rice & cheese sauce, broccoli &\xa0cheddar', 'Cheese Croquettes -\xa0Goya']"
9,pasteurised-cow-s-milk,"['Goya, country style rice & cheese sauce, broccoli &\xa0cheddar', 'Cheese Croquettes -\xa0Goya']"
10,whole-milk,['Potato Puffs -\xa0Goya']
11,nonfat-dry-milk-and-whey-solids,['Chorizo Croquettes -\xa0Goya']
12,milk-fondant,"['Goya, wafers, dulce de\xa0leche']"
13,cultured-pasteurized-part-skim-milk,['Spinach empanadas -\xa0Goya']
14,pasteurized-manchega-sheep-s-milk,"['Goya, manchego\xa0cheese']"
15,cultured-pasteurized-milk,['Cheese Empanadas -\xa0Goya']
16,pasteurized-cultured-milk-and-cream,['Cheese Croquettes -\xa0Goya']
17,pasteurized-fluid-milk,"['Goya, pupusas (stuffed corn tortillas),\xa0cheese']"
18,soured-milk,"['Goya, rice primavera, spring vegetables &\xa0cheddar']"
