,ingredient,substitute
0,shellfish,BeLeaf: Plant-based shrimp
1,shellfish,Gardein: Fish-less filets and mini crab-less cakes
2,shellfish,"Good Catch: Fish-free tuna, crab cakes, fish-free fillets & burgers"
3,shellfish,Jinka: Plant-based tuna
4,shellfish,Loma Linda: Plant-based tuna
5,shellfish,New Wave: Plant-based shrimp
6,shellfish,Ocean Hugger Foods: Plant-based “raw” ahi
7,shellfish,Quorn: Fish-less sticks
8,shellfish,"Sophie’s Kitchen: Plant-based shrimp, smoked salmon, crab cakes, fish fillet"
